from,to,weight,relation
Mora,hem,51,kommun_to_hem_lemma
Ludvika,hem,25,kommun_to_hem_lemma
Avesta,hem,18,kommun_to_hem_lemma
Malung-Salen,hem,17,kommun_to_hem_lemma
Falun,hem,16,kommun_to_hem_lemma
Alvdalen,hem,13,kommun_to_hem_lemma
Leksand,hem,13,kommun_to_hem_lemma
Smedjebacken,hem,12,kommun_to_hem_lemma
Rattvik,hem,11,kommun_to_hem_lemma
Sater,hem,11,kommun_to_hem_lemma
hem,skogen,9,hem_to_word_lemma
Gagnef,hem,9,kommun_to_hem_lemma
Orsa,hem,9,kommun_to_hem_lemma
Ludvika,hem,9,kommun_to_hem_strict
Hedemora,hem,7,kommun_to_hem_lemma
Mora,hem,7,kommun_to_hem_strict
Borlange,hem,6,kommun_to_hem_lemma
Alvdalen,hem,6,kommun_to_hem_strict
Smedjebacken,hem,6,kommun_to_hem_strict
Vansbro,hem,5,kommun_to_hem_lemma
Sater,hem,5,kommun_to_hem_strict
Avesta,hem,4,kommun_to_hem_strict
Falun,hem,4,kommun_to_hem_strict
Malung-Salen,hem,4,kommun_to_hem_strict
Orsa,hem,4,kommun_to_hem_strict
Rattvik,hem,3,kommun_to_hem_strict
hem,hos,2,hem_to_word_lemma
hem,på,2,hem_to_word_lemma
hem,vårat,2,hem_to_word_lemma
hem,andra,1,hem_to_word_lemma
hem,anläggning,1,hem_to_word_lemma
hem,bakom,1,hem_to_word_lemma
hem,bostad,1,hem_to_word_lemma
hem,bäsna,1,hem_to_word_lemma
hem,bästa,1,hem_to_word_lemma
hem,dottern,1,hem_to_word_lemma
hem,farmor,1,hem_to_word_lemma
hem,fina,1,hem_to_word_lemma
hem,fiske,1,hem_to_word_lemma
hem,föräldra,1,hem_to_word_lemma
hem,hjärta,1,hem_to_word_lemma
hem,husby,1,hem_to_word_lemma
hem,kartan,1,hem_to_word_lemma
hem,kära,1,hem_to_word_lemma
hem,ljuva,1,hem_to_word_lemma
hem,lugna,1,hem_to_word_lemma
hem,lugnaste,1,hem_to_word_lemma
hem,mamma,1,hem_to_word_lemma
hem,mit,1,hem_to_word_lemma
hem,mora,1,hem_to_word_lemma
hem,motions,1,hem_to_word_lemma
hem,natur,1,hem_to_word_lemma
hem,nuvarande,1,hem_to_word_lemma
hem,nya,1,hem_to_word_lemma
hem,nära,1,hem_to_word_lemma
hem,ort,1,hem_to_word_lemma
hem,paradis,1,hem_to_word_lemma
hem,risberg,1,hem_to_word_lemma
hem,ska,1,hem_to_word_lemma
hem,skog,1,hem_to_word_lemma
hem,skogsmark,1,hem_to_word_lemma
hem,skogspromenader,1,hem_to_word_lemma
hem,ställe,1,hem_to_word_lemma
hem,tillhörande,1,hem_to_word_lemma
hem,trädgården,1,hem_to_word_lemma
hem,tvärtom,1,hem_to_word_lemma
hem,vandring,1,hem_to_word_lemma
hem,vrå,1,hem_to_word_lemma
hem,väsa,1,hem_to_word_lemma
hem,är,1,hem_to_word_lemma
hem,andra,1,hem_to_word_strict
hem,bostad,1,hem_to_word_strict
hem,dottern,1,hem_to_word_strict
hem,fina,1,hem_to_word_strict
hem,föräldra,1,hem_to_word_strict
hem,hjärta,1,hem_to_word_strict
hem,kära,1,hem_to_word_strict
hem,ljuva,1,hem_to_word_strict
hem,mit,1,hem_to_word_strict
hem,mora,1,hem_to_word_strict
hem,nuvarande,1,hem_to_word_strict
hem,nya,1,hem_to_word_strict
hem,ort,1,hem_to_word_strict
hem,vårat,1,hem_to_word_strict
hem,är,1,hem_to_word_strict
Borlange,hem,1,kommun_to_hem_strict
Gagnef,hem,1,kommun_to_hem_strict
Hedemora,hem,1,kommun_to_hem_strict
Leksand,hem,1,kommun_to_hem_strict
