id,label,type,weight
18,hem,focus_word,350
33,Mora,municipality,58
26,Ludvika,municipality,34
4,Avesta,municipality,22
29,Malung-Salen,municipality,21
11,Falun,municipality,20
0,Alvdalen,municipality,19
51,Smedjebacken,municipality,18
45,Sater,municipality,16
24,Leksand,municipality,14
43,Rattvik,municipality,14
39,Orsa,municipality,13
16,Gagnef,municipality,10
48,skogen,context_word,9
17,Hedemora,municipality,8
8,Borlange,municipality,7
57,Vansbro,municipality,5
58,vårat,context_word,3
1,andra,context_word,2
9,bostad,context_word,2
10,dottern,context_word,2
13,fina,context_word,2
15,föräldra,context_word,2
19,hjärta,context_word,2
20,hos,context_word,2
22,kära,context_word,2
25,ljuva,context_word,2
31,mit,context_word,2
32,mora,context_word,2
37,nuvarande,context_word,2
38,nya,context_word,2
40,ort,context_word,2
41,på,context_word,2
3,är,context_word,2
2,anläggning,context_word,1
5,bakom,context_word,1
6,bäsna,context_word,1
7,bästa,context_word,1
12,farmor,context_word,1
14,fiske,context_word,1
21,husby,context_word,1
23,kartan,context_word,1
27,lugna,context_word,1
28,lugnaste,context_word,1
30,mamma,context_word,1
34,motions,context_word,1
36,natur,context_word,1
35,nära,context_word,1
42,paradis,context_word,1
44,risberg,context_word,1
46,ska,context_word,1
47,skog,context_word,1
49,skogsmark,context_word,1
50,skogspromenader,context_word,1
52,ställe,context_word,1
53,tillhörande,context_word,1
54,trädgården,context_word,1
55,tvärtom,context_word,1
56,vandring,context_word,1
60,vrå,context_word,1
59,väsa,context_word,1
