token,n,hem_prefix
skogen,106,FALSE
hemma,102,TRUE
hem,57,TRUE
stugan,32,FALSE
grövelsjön,29,FALSE
där,26,FALSE
grönklitt,26,FALSE
skog,24,FALSE
fäbod,21,FALSE
siljan,21,FALSE
orsa,19,FALSE
runt,19,FALSE
hemus,18,TRUE
lugnet,18,FALSE
sjön,18,FALSE
sälen,18,FALSE
idre,17,FALSE
stångtjärn,16,FALSE
på,15,FALSE
säterdalen,15,FALSE
runn,14,FALSE
fulufjället,13,FALSE
sollerön,13,FALSE
mellsta,12,FALSE
tällberg,12,FALSE
berget,11,FALSE
camping,11,FALSE
fjäll,11,FALSE
gyllbergen,11,FALSE
koppången,11,FALSE
sommarstuga,11,FALSE
sälenfjällen,11,FALSE
fiske,10,FALSE
jaktmark,10,FALSE
klack,10,FALSE
leksand,10,FALSE
naturreservat,10,FALSE
paradiset,10,FALSE
sommarstugan,10,FALSE
svampskogen,10,FALSE
älven,10,FALSE
älvpromenaden,10,FALSE
badplats,9,FALSE
bor,9,FALSE
golfbana,9,FALSE
mora,9,FALSE
bergebo,8,FALSE
fritidshus,8,FALSE
hagge,8,FALSE
jakt,8,FALSE
källslätten,8,FALSE
natur,8,FALSE
naturen,8,FALSE
nipfjället,8,FALSE
omnejd,8,FALSE
rättvik,8,FALSE
svamp,8,FALSE
åsen,8,FALSE
fäboden,7,FALSE
gimmen,7,FALSE
kyrkviken,7,FALSE
limsjön,7,FALSE
motionsspår,7,FALSE
plats,7,FALSE
solvändan,7,FALSE
strand,7,FALSE
stuga,7,FALSE
styggforsen,7,FALSE
tandådalen,7,FALSE
udden,7,FALSE
utsikten,7,FALSE
är,7,FALSE
alderängarna,6,FALSE
avesta,6,FALSE
barken,6,FALSE
dammsjön,6,FALSE
falun,6,FALSE
fjällen,6,FALSE
fjället,6,FALSE
hemfjällstangen,6,TRUE
hus,6,FALSE
ljungåsen,6,FALSE
lugn,6,FALSE
nära,6,FALSE
näset,6,FALSE
orsasjön,6,FALSE
strandpromenaden,6,FALSE
sörvik,6,FALSE
uvberget,6,FALSE
asaklitt,5,FALSE
avkoppling,5,FALSE
axi,5,FALSE
badet,5,FALSE
bispbergs,5,FALSE
byn,5,FALSE
dalälven,5,FALSE
elljusspåret,5,FALSE
fryksås,5,FALSE
furudal,5,FALSE
fäbodar,5,FALSE
fänforsen,5,FALSE
gesundaberget,5,FALSE
gruva,5,FALSE
hedemora,5,FALSE
hemmaskogen,5,TRUE
hundfjället,5,FALSE
hästängsleden,5,FALSE
högberget,5,FALSE
jaktmarker,5,FALSE
jarl,5,FALSE
lake,5,FALSE
lilla,5,FALSE
lugnets,5,FALSE
lyberget,5,FALSE
långbryggan,5,FALSE
malung,5,FALSE
många,5,FALSE
nibbleberget,5,FALSE
norra,5,FALSE
närsjö,5,FALSE
promenad,5,FALSE
sjö,5,FALSE
skogarna,5,FALSE
stadssjön,5,FALSE
stora,5,FALSE
södra,5,FALSE
tansen,5,FALSE
utsikt,5,FALSE
backmon,4,FALSE
bakom,4,FALSE
barndomshem,4,FALSE
biskopsnäset,4,FALSE
bjursås,4,FALSE
björbo,4,FALSE
bra,4,FALSE
by,4,FALSE
bysjön,4,FALSE
dalarna,4,FALSE
dalen,4,FALSE
egen,4,FALSE
elljusspår,4,FALSE
familj,4,FALSE
fin,4,FALSE
fjärden,4,FALSE
fjätervålen,4,FALSE
fulåberg,4,FALSE
fåsås,4,FALSE
för,4,FALSE
gamla,4,FALSE
grövelsjöfjällen,4,FALSE
gördalen,4,FALSE
hemmet,4,TRUE
här,4,FALSE
idrefjäll,4,FALSE
ik,4,FALSE
klacken,4,FALSE
kläppen,4,FALSE
knutsbo,4,FALSE
mejdåsen,4,FALSE
mellan,4,FALSE
minnen,4,FALSE
mot,4,FALSE
njupeskär,4,FALSE
nya,4,FALSE
området,4,FALSE
paradis,4,FALSE
romme,4,FALSE
rottnebyskogen,4,FALSE
roxnäs,4,FALSE
skjutfält,4,FALSE
stadsberget,4,FALSE
stjärnsund,4,FALSE
städjan,4,FALSE
stöten,4,FALSE
sundborn,4,FALSE
sunnansjö,4,FALSE
